Date,OpenT-0_M,VolumeT-0_M,ADX_M,ADXR_M,MACD_M,RSI_M,AD_M,ATR_M,HT_DC_M,High/Open_M,Low/Open_M,Close/Open_M,OpenT-0,VolumeT-0,VolumeT-1,VolumeT-2,MA5,ADX,MACD,RSI,AD,HT_DC,High/Open,Low/Open,Close/Open,Predict-Y
2000-02-29,0.296246268240994,0.076416015625,0.5239858699580846,0.5207345599481025,0.45065445406562865,0.40676847967478674,0.0062803736815246185,0.35658331588326575,0.40010824994951383,0.14837581175726555,1.0,0.5169000547445552,0.013608517948899512,0.04465025321103144,0.03914606134716159,0.028419866066687505,0.10598109485332127,0.01751844796881885,0.6147378129397094,0.49805156899947023,0.16929621348685536,0.2459545248406007,0.19459892414283342,0.9590472514163473,0.5148815042456385,0.016081118607174788
2000-03-01,0.30438365823098745,0.08270421327260147,0.5072384234375853,0.5044297862276437,0.4706507466025712,0.4552144375706407,0.00670491125412144,0.3425024762576012,0.4367503970755456,0.11558509136426487,1.0,0.4949568912956819,0.014385413036525019,0.1405609481531828,0.04465025321103145,0.03914606134716158,0.1490553903097329,0.038627022869756944,0.6170415144909133,0.6585997512165744,0.1776320575366791,0.2774079255272541,0.6823879649240006,0.9975485997091571,0.8719799099592049,0.014796684213630477
2000-03-02,0.31004036265693025,0.07590250951337638,0.4878577314630003,0.49694400658017923,0.4896417238629171,0.4649272073553669,0.007031391537914003,0.3283547544143757,0.47046985533225844,0.04953006864469778,0.929644371726484,0.45661120513313413,0.01569642540029059,0.03683393665021073,0.14056094815318282,0.044650253211031436,0.1444068494109781,0.058227842420628034,0.6174556227449818,0.5436522934650692,0.1755606677591727,0.29868933626507604,0.04423953358401356,0.7688434351865769,0.32100552723282316,0.015723795989479025
2000-03-03,0.3111788307814013,0.0715512208833026,0.4428858039923356,0.4752955350161243,0.5234982190233445,0.5603511451822103,0.007709535081287535,0.3319051393753472,0.48229891843138734,0.1953337313664285,1.0,0.5487262308594767,0.015366243574097296,0.03847396735716865,0.03683393665021074,0.1405609481531828,0.14970086565707674,0.07404073099912789,0.6186336625993951,0.5958116524828728,0.1787420652347454,0.2987152320129128,0.1612197117051668,0.8184450207858527,0.5772279424591606,0.0153664690452674
2000-03-06,0.32332070323683637,0.06062345047278598,0.4011261570552896,0.4470174371174541,0.539674686626338,0.4964709478312042,0.007381398453066528,0.32986341600819685,0.4723296319625138,0.003748770703515092,0.8097803313543448,0.3819965552177358,0.015541047252890076,0.02319331122351449,0.038473967357168654,0.03683393665021073,0.14130089872969973,0.09064199513025223,0.619090549089283,0.5656427594498733,0.1772776795322719,0.28339437389323335,0.14863590454164122,0.963090739797205,0.4677863995209828,0.01493188783400356
2000-03-07,0.31539593085764783,0.08630776493311809,0.391998953754955,0.4369135203945952,0.5304621507273485,0.3905176331618531,0.006704411545381348,0.3592875844521872,0.44945881910242697,0.052829132801390344,0.6742359744359234,0.3157009389513048,0.015609025736205668,0.03165289607272573,0.023193311223514493,0.03847396735716865,0.1344571025654735,0.09227717094070337,0.6188986565437637,0.5293131896597069,0.1760087514121237,0.2588035124281865,0.04739859138396074,0.8045966181196249,0.3655455584586367,0.014796684213630477
2000-03-08,0.29959954094494357,0.07629890019603322,0.38595724894274525,0.4311413812762813,0.531323842642418,0.4295768917807537,0.007088602799367377,0.35810794423009173,0.4297155920054582,0.1242328884208952,0.9271252757204334,0.4889495231257506,0.015055487279296266,0.03141167046457928,0.03165289607272573,0.02319331122351449,0.07698423327177771,0.08546521420710049,0.6185051095933822,0.517872560633803,0.17679838002862175,0.23619621867290047,0.05182094142569227,0.8367792662619351,0.44932095533762606,0.014835311347156587
2000-03-09,0.3045076491422495,0.069091796875,0.3517305995450611,0.42222706562156054,0.555344100026443,0.5377159854828921,0.007834312308235994,0.37868959657242673,0.4235946155511709,0.23817700849164325,0.9291621896358553,0.5782707831021296,0.014744726633872305,0.03215507013748342,0.03141167046457929,0.03165289607272572,0.07452056251533161,0.08205051043525516,0.6181348388132529,0.5206263275939738,0.17733294605626604,0.24070949022103533,0.20451915458709724,0.8990044568130484,0.522916428270364,0.015376125828648926
2000-03-10,0.3200072284494824,0.07051519978090406,0.3186247018857994,0.41695873740257683,0.5706513074113583,0.5171125322902035,0.00728699036151043,0.36865274197237086,0.41733886828698813,0.0778294235382635,0.9246652639942283,0.4228561114495415,0.014870973010118825,0.028347043241586684,0.032155070137483435,0.03141167046457928,0.06918820119909372,0.08667525615786836,0.6182977391629143,0.5592650852578467,0.17829088330919923,0.2653595563588797,0.30780687560941633,0.9737260118021878,0.6104892421098929,0.01469045094340197
2000-03-13,0.3170747572622661,0.05946130506226937,0.30087344206827876,0.4110430790613727,0.5758718822113871,0.48170285957989617,0.007368115619409675,0.37505105670827443,0.3989700460877382,0.02205818102144086,0.7621439194713613,0.4049975993085839,0.014938951493434417,0.035844759942591335,0.02834704324158669,0.03215507013748342,0.07584985828015856,0.08561420135211503,0.6176291928647877,0.4948892348678843,0.17676206781514994,0.26617449820160427,0.2146932076213659,0.9000381914054811,0.45118310415536156,0.013599165197035764
